"eventno","rectype","month","day","year","time","lat","long","heading","alt","legtype","legstage","legno","visiblty","glarel","glarer","beaufort","cloud","wx","sightno","anglel","angler","speccode","number","numcalf","anhead","photos","idrel","confidnc","b1","b2","b3","b4","b5","b6","b7","b8","b9","b10","b11","b12","b13","b14","b15","refno","stratum","utc","radalt","gpsspeed","setalt","setvel","lensfl","ggf","int","gpsq","gpssats","roll","pitch","yaw","maghead","notes","edits","glarev","ph_qual","TrackDist"
984,"X",7,25,2023,93747,41.26301667,-71.23129833,184,491,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",93.2,1000,100,"","","","","","","","","","","","","",0.129950087
985,"X",7,25,2023,93752,41.26087167,-71.23149,183,491,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",93,1000,100,"","","","","","","","","","","","","",0.129076971
986,"X",7,25,2023,93757,41.25872333,-71.23164167,183,490,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",93.1,1000,100,"","","","","","","","","","","","","",0.129168428
987,"X",7,25,2023,93802,41.25655167,-71.23176333,182,489,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",93.8,1000,100,"","","","","","","","","","","","","",0.13050345
988,"X",7,25,2023,93807,41.25437167,-71.23177,178,488,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",94.3,1000,100,"","","","","","","","","","","","","",0.130888543
989,"X",7,25,2023,93812,41.25218333,-71.23162333,176,489,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",95,1000,100,"","","","","","","","","","","","","",0.131555218
990,"X",7,25,2023,93817,41.24998667,-71.23139333,176,490,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",95.8,1000,100,"","","","","","","","","","","","","",0.132296881
991,"X",7,25,2023,93822,41.24779,-71.231255,178,490,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",95.3,1000,100,"","","","","","","","","","","","","",0.13203662
992,"X",7,25,2023,93827,41.24558667,-71.23121833,180,491,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",95,1000,100,"","","","","","","","","","","","","",0.132299496
993,"X",7,25,2023,93832,41.24339333,-71.23126167,181,492,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",95.5,1000,100,"","","","","","","","","","","","","",0.131703266
994,"X",7,25,2023,93837,41.24121,-71.23132333,181,494,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",94.3,1000,100,"","","","","","","","","","","","","",0.131117891
995,"X",7,25,2023,93842,41.23905333,-71.23143833,183,494,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",93.2,1000,100,"","","","","","","","","","","","","",0.129591301
996,"X",7,25,2023,93847,41.2369,-71.23163,185,495,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",93.8,1000,100,"","","","","","","","","","","","","",0.129576399
997,"X",7,25,2023,93852,41.23475,-71.23190333,186,494,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",93.8,1000,100,"","","","","","","","","","","","","",0.12967557
998,"X",7,25,2023,93857,41.23259333,-71.23219,185,493,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",93.6,1000,100,"","","","","","","","","","","","","",0.130132568
999,"X",7,25,2023,93902,41.230435,-71.23245667,184,494,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",93.5,1000,100,"","","","","","","","","","","","","",0.130145527
1000,"P",7,25,2023,93906,41.22857847,-71.23257584,182,495,2,"2","7",5,"3","1",2,2,"H","8","","","UNVE","1","","","1","9","0","","","","","","","","","","","","","","","","","","","",93.5,1000,100,"","","","","","","","","","","","","",0.111596896
1001,"X",7,25,2023,93907,41.22828,-71.232595,182,495,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",93.5,1000,100,"","","","","","","","","","","","","",0.129537878
1002,"X",7,25,2023,93907,41.22828,-71.232595,182,495,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",93.5,1000,100,"","","","","","","","","","","","","",0
1003,"X",7,25,2023,93912,41.22610333,-71.23263667,180,494,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",94,1000,100,"","","","","","","","","","","","","",0.130701605
1004,"X",7,25,2023,93917,41.22391167,-71.2326,179,493,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",94.7,1000,100,"","","","","","","","","","","","","",0.131599086
1005,"X",7,25,2023,93922,41.2217,-71.23252,179,490,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",95.8,1000,100,"","","","","","","","","","","","","",0.132838614
1006,"X",7,25,2023,93927,41.21949333,-71.23252333,181,489,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",95.3,1000,100,"","","","","","","","","","","","","",0.132489361
1007,"X",7,25,2023,93932,41.21728333,-71.232605,182,488,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",95.4,1000,100,"","","","","","","","","","","","","",0.132740661
1008,"X",7,25,2023,93937,41.21507333,-71.23269333,182,488,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",95.4,1000,100,"","","","","","","","","","","","","",0.132749372
1009,"X",7,25,2023,93937,41.21507333,-71.23269333,182,488,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",95.4,1000,100,"","","","","","","","","","","","","",0
1010,"X",7,25,2023,93942,41.21286167,-71.23276,181,489,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",95,1000,100,"","","","","","","","","","","","","",0.132823612
1011,"P",7,25,2023,93943,41.21244562,-71.2327704,181,489,2,"2","7",5,"3","1",2,2,"H","9","40","","UNSH","1","","","1","3","0","","","","","","","","","","","","","","","","","","","",95,1000,100,"","","","","","","","","","","","","",0.024984325
1012,"X",7,25,2023,93947,41.21066167,-71.232815,181,491,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",94.8,1000,100,"","","","","","","","","","","","","",0.132112364
1013,"X",7,25,2023,93952,41.20846833,-71.23288833,182,491,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",95.2,1000,100,"","","","","","","","","","","","","",0.131730388
1014,"X",7,25,2023,93957,41.206265,-71.23298667,182,491,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",95.3,1000,100,"","","","","","","","","","","","","",0.132363688
1015,"X",7,25,2023,94002,41.20406,-71.23307667,181,492,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",94.8,1000,100,"","","","","","","","","","","","","",0.132451615
1016,"X",7,25,2023,94007,41.20187,-71.23313,181,494,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",94.3,1000,100,"","","","","","","","","","","","","",0.131510671
1017,"X",7,25,2023,94012,41.19968833,-71.23318167,182,495,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",94.6,1000,100,"","","","","","","","","","","","","",0.131009057
1018,"X",7,25,2023,94017,41.19749667,-71.23329,182,494,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",95.1,1000,100,"","","","","","","","","","","","","",0.131679649
1019,"X",7,25,2023,94022,41.19529333,-71.23341833,182,493,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",95,1000,100,"","","","","","","","","","","","","",0.13241613
1020,"X",7,25,2023,94027,41.19309333,-71.23354833,182,493,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",95,1000,100,"","","","","","","","","","","","","",0.132219519
1021,"X",7,25,2023,94032,41.19089667,-71.23362,181,493,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",95,1000,100,"","","","","","","","","","","","","",0.131928612
1022,"X",7,25,2023,94037,41.18870167,-71.23362333,179,493,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",95.2,1000,100,"","","","","","","","","","","","","",0.13178889
1023,"X",7,25,2023,94037,41.18870167,-71.23362333,179,493,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",95.2,1000,100,"","","","","","","","","","","","","",0
1024,"X",7,25,2023,94042,41.186495,-71.23356167,178,493,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",95.7,1000,100,"","","","","","","","","","","","","",0.132518572
